fps,low1pct,cpu_ms,gpu_ms,Gameplay Update,Physics,Render Collect,Shadow Pass,Scene Pass (FBX),Sprite Pass,Effect Update,Effect Draw,Debug/ImGui,gpu_shadow,gpu_scene,gpu_effect,gpu_sprite,effect_calls,effect_verts,effect_instances
60.0,58.1,16.67,3.29,0.09,0.19,0.01,0.50,1.06,0.13,1.72,1.63,0.31,0.829,3.127,0.073,0.011,51,38488,7119
60.0,58.1,16.66,3.99,0.06,0.21,0.01,0.51,1.20,0.11,1.41,1.09,0.25,1.187,2.569,0.203,0.008,39,15860,3180
60.0,58.3,16.66,5.09,0.06,0.18,0.01,0.54,1.19,0.11,1.58,1.19,0.27,1.170,2.499,0.183,0.009,53,33360,10185
60.0,58.3,16.67,3.55,0.13,0.20,0.01,0.52,1.08,0.11,2.12,2.14,0.26,0.829,1.712,0.053,0.002,65,49624,14672
60.0,58.3,16.67,3.51,0.06,0.19,0.01,0.51,1.08,0.11,2.52,2.79,0.27,0.724,2.934,0.070,0.003,58,38856,10965
60.0,58.3,16.67,3.83,0.11,0.26,0.01,0.63,1.33,0.13,2.23,2.06,0.26,0.736,2.905,0.060,0.005,47,32000,8150
60.0,58.2,16.66,4.09,0.09,0.26,0.01,0.74,1.54,0.14,2.11,1.95,0.30,0.811,3.154,0.057,0.004,31,53180,8034
60.0,58.2,16.67,3.96,0.12,0.28,0.01,0.80,1.61,0.14,1.80,1.46,0.37,0.834,1.911,0.044,0.006,25,10808,1941
60.0,58.2,16.67,4.08,0.13,0.40,0.02,1.24,2.22,0.15,1.32,0.83,0.42,0.794,3.003,0.059,0.003,21,7352,1285
60.0,57.8,16.67,4.04,0.10,0.34,0.01,0.96,1.94,0.14,1.76,1.19,0.39,0.826,3.077,0.070,0.003,34,15864,5344
60.0,57.8,16.67,5.64,0.17,0.25,0.01,0.70,1.45,0.16,1.74,1.53,0.28,0.740,3.009,0.095,0.015,64,28080,7879
60.0,57.8,16.67,3.94,0.08,0.28,0.01,0.65,1.37,0.16,1.76,1.87,0.31,0.746,2.961,0.110,0.011,53,24312,6399
60.0,57.8,16.67,4.19,0.06,0.23,0.01,0.59,1.27,0.14,2.00,2.00,0.31,0.888,2.028,0.146,0.014,55,73912,14702
60.0,57.8,16.67,4.02,0.11,0.23,0.01,0.55,1.14,0.14,2.42,2.80,0.26,0.806,3.161,0.170,0.006,62,72132,17035
60.0,57.8,16.67,3.63,0.07,0.25,0.01,0.61,1.28,0.12,2.30,2.35,0.26,0.810,3.167,0.067,0.006,31,27332,6906
60.0,57.8,16.67,4.12,0.12,0.30,0.01,0.85,1.82,0.14,1.71,1.52,0.31,0.854,3.102,0.055,0.001,32,17344,3668
60.0,57.8,16.67,4.01,0.15,0.32,0.01,0.87,1.82,0.20,1.79,1.50,0.37,0.739,2.930,0.053,0.012,47,14720,3861
60.0,58.3,16.67,4.52,0.14,0.25,0.01,0.63,1.41,0.14,1.60,1.56,0.28,3.096,2.948,0.099,0.038,50,17972,4769
60.0,58.3,16.67,5.47,0.08,0.29,0.01,0.86,1.88,0.20,1.76,1.54,0.30,0.813,3.185,0.063,0.004,43,24728,7578
60.0,58.4,16.67,4.23,0.13,0.27,0.01,0.73,1.55,0.17,2.25,2.02,0.29,0.812,3.169,0.088,0.012,51,59052,9810
60.0,58.4,16.67,4.14,0.11,0.25,0.01,0.66,1.39,0.11,1.98,1.89,0.28,0.851,1.784,0.098,0.005,44,24380,4724
60.0,58.4,16.67,4.19,0.09,0.29,0.01,0.91,1.92,0.14,1.75,1.34,0.35,0.824,3.085,0.101,0.008,36,15536,3093
60.0,58.4,16.67,4.01,0.16,0.26,0.01,0.78,1.65,0.14,1.91,1.65,0.32,0.733,2.955,0.109,0.007,64,37044,10504
60.0,58.5,16.67,3.95,0.07,0.25,0.01,0.56,1.14,0.13,2.19,2.41,0.26,0.845,3.237,0.101,0.004,74,54220,15797
60.0,58.5,16.67,3.92,0.06,0.21,0.01,0.56,1.16,0.12,2.44,3.03,0.28,0.862,3.233,0.104,0.004,56,40184,10831
60.0,58.5,16.67,5.08,0.16,0.25,0.01,0.58,1.21,0.14,2.06,2.06,0.27,3.134,2.680,0.272,0.019,62,56272,9850
60.0,58.5,16.66,4.57,0.07,0.23,0.01,0.63,1.29,0.12,1.93,2.01,0.30,0.820,3.071,0.138,0.009,49,50716,7854
60.0,58.3,16.67,4.23,0.15,0.26,0.01,0.68,1.49,0.12,1.57,1.33,0.29,0.860,3.056,0.113,0.007,35,11276,730
60.0,58.3,16.66,4.13,0.18,0.28,0.01,1.01,1.84,0.17,1.46,1.03,0.35,0.746,2.919,0.103,0.005,37,9832,1269
60.0,58.0,16.67,4.08,0.11,0.37,0.02,1.04,2.20,0.19,2.10,1.74,0.36,0.858,3.202,0.099,0.014,46,20076,5386
60.0,58.0,16.67,4.39,0.09,0.26,0.01,0.73,1.56,0.14,1.83,1.71,0.30,2.111,2.014,0.120,0.005,61,30948,8207
60.0,58.0,16.67,4.38,0.14,0.26,0.01,0.83,1.77,0.16,1.96,2.01,0.28,0.794,3.085,0.119,0.004,52,22884,6583
60.0,58.0,16.67,4.21,0.16,0.28,0.01,0.74,1.56,0.16,2.18,2.21,0.28,0.838,3.019,0.131,0.016,68,66292,12757
60.0,58.0,16.67,5.52,0.06,0.22,0.01,0.52,1.10,0.12,2.33,2.68,0.26,1.318,1.781,0.180,0.010,65,76448,15519
60.0,58.0,16.67,3.83,0.10,0.21,0.01,0.52,1.10,0.13,2.27,2.68,0.25,0.885,1.785,0.095,0.013,50,39364,9820
60.0,58.0,16.67,3.84,0.09,0.27,0.01,0.69,1.47,0.19,1.99,1.96,0.31,0.772,3.083,0.093,0.003,49,27640,6339
60.0,57.4,16.67,4.10,0.09,0.32,0.02,0.98,2.01,0.20,2.04,2.05,0.32,0.765,3.032,0.109,0.003,42,18084,3927
60.0,57.4,16.67,4.09,0.21,0.30,0.01,0.91,1.82,0.20,1.95,1.91,0.29,0.763,3.002,0.113,0.003,60,20852,4802
60.0,57.4,16.67,4.00,0.08,0.27,0.01,0.79,1.79,0.18,1.93,1.75,0.33,0.752,3.004,0.108,0.014,55,28368,7584
60.0,57.4,16.67,4.03,0.09,0.27,0.01,0.74,1.51,0.14,2.34,2.19,0.27,0.767,3.028,0.131,0.009,43,60108,9593
60.0,57.4,16.67,4.14,0.17,0.22,0.01,0.63,1.28,0.13,1.92,1.94,0.27,1.144,2.552,0.225,0.025,47,24648,4656
60.0,57.4,16.67,5.42,0.08,0.26,0.01,0.82,1.75,0.17,1.63,1.34,0.28,0.825,1.762,0.091,0.011,45,15152,3372
60.0,57.4,16.67,4.19,0.09,0.30,0.02,0.91,1.88,0.18,1.95,1.75,0.33,0.831,3.124,0.103,0.004,58,28156,8041
60.0,57.6,16.66,4.21,0.11,0.25,0.01,0.61,1.24,0.13,2.32,2.34,0.26,2.084,1.906,0.121,0.004,68,49824,14265
60.0,57.6,16.67,3.72,0.10,0.20,0.01,0.50,1.05,0.13,2.25,2.64,0.26,0.774,1.699,0.098,0.004,54,42916,12363
60.0,57.6,16.67,3.70,0.07,0.23,0.01,0.53,1.14,0.13,2.28,2.44,0.25,0.758,3.027,0.113,0.005,42,66764,12012
60.0,57.6,16.67,3.70,0.12,0.24,0.01,0.61,1.27,0.13,1.97,1.97,0.31,0.729,3.052,0.065,0.004,28,39880,6591
60.0,57.6,16.67,4.09,0.11,0.30,0.01,1.02,1.94,0.18,1.51,1.13,0.35,0.804,3.115,0.057,0.006,23,4952,226
60.0,57.6,16.67,5.58,0.11,0.40,0.04,1.29,2.38,0.20,1.03,0.90,0.41,3.303,2.851,0.158,0.012,20,9752,2884
60.0,57.6,16.67,4.60,0.14,0.27,0.01,0.77,1.75,0.13,1.66,1.30,0.34,0.794,3.006,0.079,0.002,43,16660,5142
60.0,57.6,16.67,3.98,0.15,0.26,0.02,0.83,1.72,0.20,2.32,2.11,0.28,0.744,2.927,0.087,0.007,61,24924,7312
60.0,57.6,16.67,3.83,0.08,0.28,0.01,0.72,1.59,0.15,1.93,1.87,0.29,0.748,3.002,0.109,0.013,47,26536,7574
60.0,57.6,16.66,3.56,0.13,0.25,0.01,0.61,1.26,0.14,2.15,2.21,0.28,0.775,1.660,0.164,0.005,52,65084,10875
60.0,57.6,16.66,3.69,0.11,0.24,0.01,0.54,1.15,0.17,2.26,2.56,0.28,0.805,2.975,0.141,0.007,80,53920,12747
60.0,57.6,16.67,3.68,0.11,0.21,0.01,0.58,1.17,0.18,2.12,2.45,0.26,0.778,2.997,0.171,0.005,83,50556,11550
60.0,57.6,16.66,3.46,0.08,0.25,0.01,0.60,1.26,0.20,2.16,2.39,0.26,0.797,2.956,0.151,0.004,78,40976,8860
60.0,58.2,16.67,5.35,0.12,0.26,0.02,0.64,1.38,0.26,1.88,2.06,0.26,2.468,1.709,0.153,0.008,66,27772,5714
60.0,58.2,16.67,3.69,0.12,0.23,0.01,0.63,1.32,0.21,1.65,2.00,0.30,0.755,3.020,0.188,0.008,70,27044,4601
60.0,58.2,16.66,4.00,0.08,0.25,0.01,0.69,1.50,0.19,2.00,1.95,0.32,0.863,3.212,0.200,0.003,73,45140,8508
60.0,58.2,16.66,4.04,0.15,0.22,0.01,0.60,1.21,0.20,1.92,2.18,0.32,0.773,3.047,0.215,0.003,77,67144,9510
60.0,58.2,16.67,3.73,0.07,0.24,0.01,0.60,1.29,0.17,1.83,2.15,0.30,0.813,1.868,0.172,0.003,68,27256,3743
60.0,58.2,16.67,4.15,0.08,0.26,0.01,0.77,1.75,0.17,1.26,1.48,0.32,0.798,3.060,0.195,0.002,52,21856,3560
60.0,58.2,16.67,3.96,0.19,0.25,0.01,0.71,1.55,0.21,1.91,2.10,0.28,0.774,2.982,0.181,0.006,94,31832,6820
60.0,58.2,16.66,4.42,0.07,0.23,0.01,0.56,1.16,0.16,2.13,2.60,0.26,3.157,2.460,0.366,0.038,109,52732,13960
60.0,58.4,16.67,4.62,0.09,0.22,0.01,0.51,1.06,0.14,2.10,2.56,0.27,1.058,2.493,0.306,0.036,83,56804,14425
60.0,58.4,16.66,4.30,0.10,0.22,0.01,0.53,1.11,0.15,2.35,3.04,0.28,0.802,3.027,0.234,0.006,77,79800,13845
60.0,58.5,16.67,3.71,0.10,0.22,0.01,0.53,1.11,0.13,2.07,2.47,0.27,0.778,1.749,0.150,0.005,52,52164,8307
60.0,58.4,16.67,3.77,0.09,0.29,0.01,0.90,1.78,0.17,1.56,1.33,0.35,0.754,3.016,0.102,0.014,26,10680,422
60.0,57.9,16.67,4.06,0.16,0.35,0.02,1.19,2.15,0.22,1.40,1.01,0.39,0.748,2.906,0.076,0.019,35,10212,2376
60.0,57.9,16.66,3.96,0.15,0.32,0.01,0.93,1.99,0.25,2.06,1.87,0.32,0.733,3.010,0.102,0.003,63,20224,5086
60.0,57.9,16.67,3.95,0.08,0.24,0.01,0.65,1.42,0.17,1.76,1.93,0.29,0.847,3.177,0.092,0.002,62,25288,6575
60.0,57.6,16.67,4.19,0.15,0.30,0.01,0.84,1.82,0.20,2.05,1.92,0.36,0.823,3.159,0.101,0.009,63,33972,9453
60.0,57.6,16.67,5.42,0.07,0.23,0.01,0.59,1.24,0.14,2.17,2.24,0.25,1.080,2.531,0.468,0.010,76,72584,11144
60.0,57.6,16.67,4.35,0.06,0.23,0.01,0.55,1.21,0.10,2.18,2.59,0.27,0.883,1.915,0.205,0.007,72,46836,10180
60.0,57.6,16.66,4.08,0.14,0.25,0.01,0.55,1.15,0.13,1.94,2.17,0.29,2.266,1.946,0.186,0.004,91,52456,11608
60.0,57.6,16.67,3.71,0.06,0.19,0.01,0.51,1.05,0.18,2.03,2.71,0.27,0.779,1.694,0.184,0.017,100,44524,10122
60.0,57.6,16.67,3.78,0.15,0.26,0.01,0.63,1.33,0.19,1.93,2.26,0.27,0.828,1.849,0.222,0.009,87,40868,7765
60.0,57.6,16.67,4.04,0.11,0.26,0.01,0.73,1.53,0.24,1.61,1.98,0.27,0.825,3.148,0.198,0.005,77,28264,4563
60.0,57.6,16.67,4.14,0.08,0.26,0.02,0.74,1.61,0.22,2.08,2.32,0.26,0.811,3.154,0.194,0.014,78,60548,9089
60.0,58.0,16.67,3.83,0.13,0.20,0.01,0.68,1.45,0.16,2.17,2.40,0.26,0.824,1.809,0.202,0.007,68,64192,9147
60.0,58.0,16.66,5.12,0.08,0.25,0.01,0.67,1.48,0.14,1.63,1.73,0.26,0.878,3.147,0.157,0.012,50,20104,2431
60.0,58.0,16.66,4.22,0.20,0.28,0.01,0.85,1.79,0.22,1.54,1.53,0.34,0.756,3.019,0.211,0.003,77,21788,3101
60.0,58.0,16.66,3.83,0.07,0.25,0.01,0.72,1.56,0.18,1.73,1.88,0.28,2.205,1.999,0.199,0.003,73,32328,6809
60.0,58.0,16.67,4.10,0.12,0.23,0.01,0.66,1.42,0.17,2.09,2.51,0.29,0.895,1.928,0.229,0.003,111,53064,12619
60.0,58.0,16.67,4.06,0.12,0.23,0.01,0.58,1.23,0.16,2.26,2.76,0.26,0.896,1.920,0.222,0.007,105,61408,15555
60.0,58.0,16.67,3.72,0.10,0.20,0.01,0.53,1.11,0.13,2.58,3.35,0.28,0.873,1.874,0.287,0.011,80,87484,15284
60.0,58.0,16.67,4.07,0.10,0.23,0.01,0.60,1.26,0.14,2.23,2.53,0.26,0.834,3.183,0.212,0.011,63,38808,5979
60.0,57.1,16.66,4.87,0.15,0.35,0.02,1.11,2.13,0.29,1.49,1.73,0.34,1.103,2.503,0.318,0.008,63,13252,696
60.0,57.1,16.66,5.33,0.19,0.36,0.02,1.16,2.25,0.32,1.70,1.90,0.30,2.080,1.990,0.201,0.004,73,25788,4437
60.0,57.1,16.67,4.35,0.21,0.28,0.02,0.93,2.00,0.28,1.83,2.22,0.28,0.830,3.187,0.188,0.012,97,29516,7256
60.0,57.1,16.67,4.40,0.08,0.26,0.02,0.80,1.72,0.24,2.07,2.32,0.27,0.847,1.985,0.187,0.005,68,27464,6021
60.0,57.1,16.67,4.26,0.20,0.26,0.01,0.79,1.61,0.19,2.06,2.22,0.26,0.772,3.135,0.244,0.004,114,60348,10011
60.0,57.1,16.67,3.76,0.06,0.20,0.01,0.54,1.12,0.16,1.95,2.61,0.27,0.795,3.117,0.352,0.006,104,80884,11722
60.0,57.1,16.67,4.21,0.15,0.24,0.01,0.57,1.28,0.18,1.90,2.62,0.26,0.863,3.290,0.251,0.007,111,48892,8108
60.0,57.1,16.67,4.54,0.12,0.26,0.01,0.71,1.44,0.21,2.02,2.49,0.26,2.098,2.062,0.290,0.008,121,58648,10253
60.0,58.2,16.67,4.47,0.13,0.21,0.01,0.55,1.16,0.16,2.26,2.95,0.27,1.058,2.476,0.493,0.006,111,58580,12324
60.0,58.2,16.66,5.66,0.11,0.22,0.01,0.61,1.24,0.18,2.13,2.59,0.25,0.709,2.931,0.236,0.004,104,49932,9428
60.0,57.9,16.67,3.78,0.13,0.29,0.01,0.74,1.57,0.21,1.77,2.13,0.25,0.685,2.876,0.173,0.003,82,31868,4438
60.0,57.9,16.67,3.89,0.13,0.27,0.01,0.73,1.47,0.25,2.15,2.37,0.25,0.672,2.846,0.204,0.004,73,70392,8863
60.0,57.9,16.67,3.98,0.22,0.27,0.01,0.75,1.50,0.22,2.16,2.42,0.26,0.739,2.914,0.195,0.012,83,51448,8084
60.0,57.9,16.67,4.02,0.10,0.33,0.02,1.01,2.10,0.26,1.81,2.13,0.31,0.737,2.906,0.182,0.003,58,23404,2664
60.0,57.9,16.67,4.02,0.19,0.33,0.02,1.13,2.30,0.26,1.85,2.15,0.35,0.726,2.934,0.220,0.005,87,34796,5478
60.0,57.9,16.67,4.04,0.08,0.26,0.01,0.75,1.58,0.18,1.86,2.38,0.26,0.736,2.919,0.268,0.004,107,43268,7578
60.0,57.9,16.67,3.97,0.16,0.21,0.01,0.63,1.24,0.19,2.03,2.57,0.25,0.891,2.215,0.468,0.027,129,51316,11113
60.0,58.0,16.66,4.64,0.09,0.20,0.01,0.50,1.05,0.20,2.19,2.87,0.26,0.742,2.916,0.284,0.016,129,71748,15813
60.0,58.0,16.67,4.03,0.07,0.19,0.01,0.52,1.10,0.18,2.69,3.69,0.28,0.817,3.132,0.368,0.015,100,95860,16154
60.0,58.0,16.67,4.19,0.11,0.23,0.01,0.59,1.23,0.19,2.14,2.61,0.25,0.784,3.053,0.191,0.013,65,35808,5377
60.0,58.0,16.66,3.94,0.13,0.28,0.02,0.99,1.90,0.19,1.31,1.48,0.31,0.765,2.987,0.170,0.011,48,15892,651
60.0,58.0,16.67,4.02,0.17,0.28,0.02,0.96,2.01,0.23,1.59,1.87,0.29,0.746,2.957,0.175,0.004,81,27672,4180
60.0,58.1,16.67,4.03,0.15,0.31,0.02,0.87,1.79,0.23,1.88,2.21,0.27,0.809,2.973,0.189,0.004,82,30412,6859
60.0,58.1,16.66,3.89,0.18,0.25,0.02,0.74,1.46,0.31,2.07,2.27,0.26,0.667,2.889,0.197,0.003,84,28460,6003
60.0,58.1,16.67,5.13,0.13,0.28,0.01,0.73,1.46,0.26,2.01,2.31,0.26,3.123,2.839,0.412,0.015,111,67904,10981
60.0,58.1,16.67,4.16,0.10,0.21,0.01,0.53,1.12,0.19,1.95,2.65,0.25,0.809,1.727,0.380,0.010,118,82688,11727
60.0,58.1,16.67,4.24,0.16,0.22,0.01,0.59,1.25,0.20,2.08,2.66,0.26,0.757,2.970,0.345,0.004,128,50172,6846
60.0,58.1,16.67,3.81,0.17,0.26,0.01,0.58,1.18,0.16,1.82,2.89,0.25,0.750,3.040,0.352,0.005,160,66060,10207
60.0,58.1,16.67,3.57,0.10,0.22,0.01,0.48,1.00,0.15,2.24,3.65,0.27,0.710,2.982,0.406,0.014,166,76436,13850
60.0,58.2,16.66,3.89,0.10,0.22,0.01,0.49,1.02,0.16,2.18,3.14,0.26,0.729,2.952,0.408,0.010,146,65076,11027
60.0,58.2,16.67,4.24,0.12,0.28,0.01,0.70,1.48,0.18,1.70,2.64,0.25,0.836,3.114,0.351,0.005,136,47112,5423
60.0,58.5,16.67,4.24,0.11,0.25,0.01,0.59,1.27,0.15,2.00,2.80,0.25,0.825,3.132,0.434,0.005,138,87208,9684
60.0,58.5,16.67,5.43,0.19,0.22,0.01,0.55,1.15,0.15,1.72,2.83,0.26,0.786,3.006,0.431,0.004,144,64940,7508
60.0,58.4,16.67,4.05,0.18,0.25,0.01,0.70,1.50,0.21,1.58,2.57,0.24,0.774,2.966,0.434,0.009,157,47692,4007
60.0,57.1,16.67,4.13,0.18,0.27,0.01,0.72,1.51,0.23,1.59,2.73,0.25,0.736,1.641,0.434,0.006,164,55516,7075
60.0,57.1,16.66,3.94,0.12,0.22,0.01,0.57,1.22,0.18,1.86,2.97,0.25,0.809,3.180,0.459,0.007,169,68956,10577
60.0,57.1,16.67,3.76,0.11,0.22,0.01,0.54,1.15,0.15,1.93,3.30,0.26,0.823,3.197,0.507,0.005,188,71516,11352
60.0,57.1,16.67,3.66,0.12,0.20,0.01,0.54,1.10,0.14,2.20,3.82,0.27,0.846,1.800,0.535,0.003,177,97600,16843
60.0,57.1,16.67,3.59,0.10,0.18,0.01,0.51,1.06,0.12,2.70,4.25,0.29,0.818,1.742,0.539,0.005,144,110108,17351
60.0,57.1,16.67,4.59,0.10,0.20,0.01,0.54,1.11,0.14,2.08,2.87,0.25,3.229,2.691,0.480,0.034,99,45360,5465
60.0,57.1,16.67,4.92,0.19,0.29,0.02,0.98,2.03,0.23,1.51,2.22,0.30,0.748,3.000,0.258,0.004,90,25060,1095
60.0,57.1,16.67,4.29,0.20,0.31,0.02,0.91,1.94,0.25,1.76,2.47,0.28,0.839,3.131,0.244,0.004,136,39140,4936
60.0,57.6,16.67,4.32,0.15,0.25,0.01,0.71,1.53,0.22,1.93,2.64,0.24,2.147,1.894,0.306,0.005,160,47808,8461
60.0,57.6,16.67,4.08,0.12,0.26,0.01,0.67,1.39,0.21,1.70,2.55,0.25,0.825,1.790,0.318,0.003,136,48060,7669
60.0,57.6,16.66,4.03,0.11,0.23,0.01,0.56,1.16,0.17,1.94,2.89,0.26,0.801,1.802,0.443,0.007,146,97548,11965
60.0,57.6,16.66,3.63,0.13,0.20,0.01,0.53,1.10,0.16,1.96,3.15,0.25,0.769,3.065,0.479,0.005,159,83228,10541
60.0,57.6,16.66,4.20,0.18,0.21,0.01,0.62,1.25,0.17,1.60,2.74,0.25,0.801,3.018,0.457,0.008,177,64636,7333
60.0,58.1,16.66,5.27,0.11,0.24,0.01,0.55,1.21,0.15,1.85,3.27,0.26,1.099,2.568,0.897,0.026,193,88280,13073
60.0,58.1,16.67,3.81,0.10,0.21,0.01,0.52,1.08,0.16,2.23,4.21,0.27,0.800,1.706,0.558,0.004,191,87776,15206
60.0,58.1,16.67,3.78,0.15,0.22,0.01,0.52,1.08,0.16,2.15,3.47,0.26,0.752,2.996,0.443,0.002,148,66884,10036
60.0,58.3,16.67,3.91,0.11,0.24,0.01,0.64,1.33,0.18,1.88,2.58,0.25,0.707,2.963,0.378,0.008,135,50944,7982
60.0,58.3,16.66,3.78,0.13,0.22,0.01,0.56,1.17,0.19,1.88,2.75,0.26,0.665,1.535,0.408,0.009,129,83056,9381
60.0,58.3,16.67,3.85,0.10,0.21,0.01,0.59,1.19,0.20,1.56,2.56,0.24,0.673,2.838,0.340,0.005,119,42724,4137
60.0,58.3,16.66,4.27,0.14,0.31,0.01,0.89,1.94,0.25,1.53,2.52,0.27,0.760,3.027,0.328,0.003,124,37964,3211
60.0,58.4,16.67,4.18,0.13,0.28,0.01,0.72,1.62,0.22,1.75,2.52,0.24,0.769,2.996,0.352,0.009,133,47848,7056
60.0,58.4,16.67,5.42,0.15,0.23,0.01,0.63,1.27,0.17,1.69,2.77,0.25,0.750,3.047,0.440,0.007,168,65644,10929
60.0,58.2,16.67,4.01,0.10,0.23,0.01,0.55,1.19,0.15,1.96,3.12,0.25,0.760,3.020,0.489,0.009,188,63476,8738
60.0,58.2,16.66,3.96,0.13,0.20,0.01,0.53,1.10,0.16,2.21,3.68,0.26,0.774,1.661,0.580,0.013,187,109960,17956
60.0,58.2,16.66,3.62,0.11,0.18,0.01,0.50,1.06,0.16,2.55,4.39,0.29,0.711,2.896,0.611,0.010,158,118344,19563
60.0,58.2,16.67,3.70,0.09,0.19,0.01,0.57,1.17,0.15,2.22,3.39,0.27,0.819,1.832,0.339,0.013,110,49912,6630
60.0,58.2,16.67,4.24,0.18,0.26,0.02,0.79,1.70,0.17,1.66,2.40,0.25,0.804,3.181,0.311,0.010,119,37988,2768
60.0,58.2,16.67,4.24,0.14,0.27,0.01,0.87,1.79,0.19,1.64,2.67,0.25,0.792,3.103,0.346,0.012,142,42724,5193
60.0,58.2,16.67,4.46,0.17,0.26,0.01,0.67,1.41,0.14,1.74,2.70,0.24,3.298,2.680,0.625,0.012,144,48000,7204
60.0,58.3,16.66,5.19,0.15,0.24,0.01,0.66,1.41,0.16,1.60,2.57,0.24,0.735,2.937,0.316,0.006,132,45644,7024
60.0,58.3,16.67,3.84,0.11,0.24,0.01,0.56,1.16,0.16,2.04,2.82,0.26,0.812,1.802,0.475,0.008,142,93376,11669
60.0,58.3,16.67,4.10,0.13,0.20,0.01,0.53,1.13,0.15,1.89,3.20,0.26,0.837,3.088,0.554,0.004,185,88124,10714
60.0,58.2,16.67,4.24,0.10,0.19,0.01,0.57,1.30,0.18,1.40,2.86,0.26,0.762,3.067,0.506,0.010,199,64832,5445
60.0,58.2,16.66,4.17,0.11,0.24,0.01,0.59,1.24,0.18,1.81,3.15,0.25,0.813,1.718,0.539,0.006,195,85168,12850
60.0,58.2,16.67,3.48,0.10,0.24,0.01,0.51,1.08,0.16,2.19,3.76,0.27,0.769,1.697,0.523,0.005,176,91700,17384
60.0,58.2,16.67,3.61,0.12,0.17,0.01,0.51,1.03,0.18,2.36,3.70,0.27,0.720,1.609,0.427,0.013,139,66040,10972
60.0,58.2,16.67,4.26,0.15,0.21,0.01,0.56,1.16,0.17,2.02,2.72,0.25,1.079,2.418,0.611,0.031,148,65804,9414
60.0,58.2,16.67,4.46,0.12,0.24,0.01,0.65,1.33,0.19,1.86,2.89,0.26,0.831,1.758,0.433,0.005,147,84516,9401
60.0,58.2,16.67,4.02,0.15,0.25,0.01,0.66,1.38,0.20,1.70,2.69,0.24,0.776,3.039,0.339,0.004,152,44628,3753
60.0,58.2,16.67,4.22,0.16,0.31,0.01,0.85,1.91,0.20,1.56,2.50,0.25,0.764,3.011,0.336,0.003,131,36532,3262
60.0,58.4,16.67,4.14,0.14,0.25,0.01,0.76,1.58,0.20,1.83,2.61,0.25,0.782,1.702,0.351,0.004,147,52616,7420
60.0,58.4,16.67,3.99,0.19,0.24,0.01,0.63,1.31,0.20,1.89,3.02,0.26,0.738,1.672,0.473,0.005,187,71876,10276
60.0,58.4,16.67,3.85,0.17,0.28,0.01,0.57,1.21,0.16,1.84,3.24,0.26,0.878,1.824,0.523,0.006,194,69008,8639
60.0,58.4,16.66,3.96,0.09,0.20,0.01,0.58,1.17,0.16,2.10,3.69,0.26,0.819,1.781,0.622,0.006,196,122480,18114
60.0,57.7,16.67,5.25,0.09,0.21,0.01,0.52,1.11,0.17,2.41,4.42,0.29,1.007,2.412,1.129,0.033,171,116848,18426
60.0,57.7,16.67,3.70,0.17,0.18,0.01,0.53,1.12,0.16,2.27,3.55,0.27,0.730,2.964,0.414,0.014,122,59536,7938
60.0,57.7,16.67,4.04,0.16,0.24,0.02,0.70,1.47,0.20,1.79,2.64,0.25,0.715,2.900,0.344,0.009,118,45896,5367
60.0,57.7,16.67,4.12,0.20,0.27,0.01,0.74,1.56,0.20,1.68,2.55,0.25,0.719,2.867,0.318,0.012,130,40312,4924
60.0,57.7,16.67,3.82,0.12,0.24,0.01,0.70,1.42,0.16,1.64,2.54,0.24,0.797,1.745,0.343,0.005,150,48440,6250
60.0,57.7,16.67,4.06,0.11,0.24,0.01,0.69,1.48,0.17,1.70,2.55,0.24,0.763,3.013,0.335,0.010,152,51884,7919
60.0,57.7,16.67,3.88,0.14,0.23,0.01,0.58,1.23,0.15,2.12,3.01,0.26,0.766,3.010,0.425,0.011,144,91308,11687
60.0,57.7,16.67,3.70,0.15,0.26,0.01,0.55,1.15,0.16,1.89,3.02,0.26,0.776,3.004,0.445,0.012,150,69000,8206
60.0,58.2,16.66,5.42,0.23,0.23,0.01,0.67,1.35,0.22,1.60,2.68,0.25,0.705,2.797,0.473,0.011,173,57256,5272
60.0,58.2,16.66,3.72,0.10,0.22,0.01,0.55,1.18,0.20,1.75,2.91,0.25,0.675,1.497,0.513,0.010,188,75060,11714
60.0,58.2,16.67,3.63,0.10,0.21,0.01,0.53,1.12,0.18,2.19,3.66,0.26,0.778,1.693,0.522,0.007,190,89368,15736
60.0,58.2,16.67,3.61,0.10,0.21,0.01,0.54,1.12,0.17,2.48,4.12,0.28,0.736,2.907,0.460,0.005,151,73968,13023
60.0,58.2,16.66,3.63,0.11,0.21,0.01,0.56,1.14,0.16,2.06,3.13,0.26,0.749,2.953,0.398,0.006,147,80084,12129
60.0,58.3,16.66,3.70,0.16,0.20,0.01,0.59,1.22,0.17,1.93,2.92,0.25,0.749,2.916,0.357,0.004,124,82584,9278
60.0,58.3,16.67,3.68,0.18,0.25,0.01,0.68,1.44,0.23,1.82,2.69,0.25,0.709,2.857,0.251,0.010,126,37548,3067
60.0,58.3,16.66,4.31,0.20,0.31,0.02,0.94,2.00,0.30,1.57,2.38,0.28,2.887,2.379,0.452,0.007,109,29476,2463
60.0,58.3,16.66,5.20,0.15,0.28,0.02,0.88,1.82,0.24,1.76,2.37,0.26,0.779,2.909,0.258,0.008,124,42676,6763
